day,uniswap_eth_volume_usd
2025-09-01 00:00:00.000 UTC,723366275.5509459
2025-09-02 00:00:00.000 UTC,738466329.7501161
2025-09-03 00:00:00.000 UTC,618580038.4613243
2025-09-04 00:00:00.000 UTC,619377458.2863755
2025-09-05 00:00:00.000 UTC,754094056.5484596
2025-09-06 00:00:00.000 UTC,326917538.6330152
2025-09-07 00:00:00.000 UTC,248496159.78221685
2025-09-08 00:00:00.000 UTC,395468728.2208258
2025-09-09 00:00:00.000 UTC,453039017.9881898
2025-09-10 00:00:00.000 UTC,488231946.4685558
2025-09-11 00:00:00.000 UTC,519360599.2244271
2025-09-12 00:00:00.000 UTC,577260425.2349633
2025-09-13 00:00:00.000 UTC,493506038.2343583
2025-09-14 00:00:00.000 UTC,433362563.64124286
2025-09-15 00:00:00.000 UTC,643292563.7444286
2025-09-16 00:00:00.000 UTC,471369173.93468636
2025-09-17 00:00:00.000 UTC,575114690.4093497
2025-09-18 00:00:00.000 UTC,472601812.557539
2025-09-19 00:00:00.000 UTC,413814637.76401794
2025-09-20 00:00:00.000 UTC,216090529.54706714
2025-09-21 00:00:00.000 UTC,271401004.58052856
2025-09-22 00:00:00.000 UTC,676774090.3525813
2025-09-23 00:00:00.000 UTC,345140545.1166529
2025-09-24 00:00:00.000 UTC,477472343.3237579
2025-09-25 00:00:00.000 UTC,764431443.605431
2025-09-26 00:00:00.000 UTC,428538420.1694856
2025-09-27 00:00:00.000 UTC,249040389.6828374
2025-09-28 00:00:00.000 UTC,242058548.54156387
2025-09-29 00:00:00.000 UTC,376129227.6361347
2025-09-30 00:00:00.000 UTC,380412027.93763494
2025-10-01 00:00:00.000 UTC,495025284.0517758
2025-10-02 00:00:00.000 UTC,620596336.1596332
2025-10-03 00:00:00.000 UTC,614492022.8126993
2025-10-04 00:00:00.000 UTC,293331827.13271606
2025-10-05 00:00:00.000 UTC,416795244.663154
2025-10-06 00:00:00.000 UTC,638017744.4611223
2025-10-07 00:00:00.000 UTC,764342273.0688404
2025-10-08 00:00:00.000 UTC,529415788.2065403
2025-10-09 00:00:00.000 UTC,600381987.4912853
2025-10-10 00:00:00.000 UTC,1458816722.7828774
2025-10-11 00:00:00.000 UTC,738855697.5565314
2025-10-12 00:00:00.000 UTC,818035452.1171618
2025-10-13 00:00:00.000 UTC,712946418.5947497
2025-10-14 00:00:00.000 UTC,934617087.9209551
